,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate,stars,descriptions
329,Hell or High Water,2016,7.6,88.0,231518,26.86,102,"Crime, Drama, Thriller            ",R,"
    Director:
David Mackenzie
| 
    Stars:
Chris Pine, 
Ben Foster, 
Jeff Bridges, 
Gil Birmingham
","
A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas."
330,The Theory of Everything,2014,7.7,71.0,451186,35.89,123,"Biography, Drama, Romance            ",PG-13,"
    Director:
James Marsh
| 
    Stars:
Eddie Redmayne, 
Felicity Jones, 
Tom Prior, 
Sophie Perry
","
A look at the relationship between the famous physicist Stephen Hawking and his wife."
331,A Star Is Born,2018,7.6,88.0,383259,215.29,136,"Drama, Music, Romance            ",R,"
    Director:
Bradley Cooper
| 
    Stars:
Lady Gaga, 
Bradley Cooper, 
Sam Elliott, 
Greg Grunberg
","
A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral."
332,Rosemary's Baby,1968,8.0,96.0,217881,,137,"Drama, Horror            ",Approved,"
    Director:
Roman Polanski
| 
    Stars:
Mia Farrow, 
John Cassavetes, 
Ruth Gordon, 
Sidney Blackmer
","
A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors."
333,Soul,2020,8.0,83.0,327303,,100,"Animation, Adventure, Comedy            ",PG,"
    Directors:
Pete Docter, 
Kemp Powers
| 
    Stars:
Jamie Foxx, 
Tina Fey, 
Graham Norton, 
Rachel House
","
After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
334,Mary Poppins,1964,7.8,88.0,173361,102.27,139,"Comedy, Family, Fantasy            ",G,"
    Director:
Robert Stevenson
| 
    Stars:
Julie Andrews, 
Dick Van Dyke, 
David Tomlinson, 
Glynis Johns
","
In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father."
335,Gone with the Wind,1939,8.2,97.0,315755,198.68,238,"Drama, Romance, War            ",Passed,"
    Directors:
Victor Fleming, 
George Cukor, 
Sam Wood
| 
    Stars:
Clark Gable, 
Vivien Leigh, 
Thomas Mitchell, 
Barbara O'Neil
","
The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods."
336,Cast Away,2000,7.8,73.0,590959,233.63,143,"Adventure, Drama, Romance            ",PG-13,"
    Director:
Robert Zemeckis
| 
    Stars:
Tom Hanks, 
Helen Hunt, 
Paul Sanchez, 
Lari White
","
A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island."
337,X-Men: Days of Future Past,2014,7.9,75.0,712155,233.92,132,"Action, Adventure, Sci-Fi            ",PG-13,"
    Director:
Bryan Singer
| 
    Stars:
Patrick Stewart, 
Ian McKellen, 
Hugh Jackman, 
James McAvoy
","
The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants."
338,Lawrence of Arabia,1962,8.3,100.0,293936,44.82,218,"Adventure, Biography, Drama            ",Approved,"
    Director:
David Lean
| 
    Stars:
Peter O'Toole, 
Alec Guinness, 
Anthony Quinn, 
Jack Hawkins
","
The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
339,Naked,1993,7.7,85.0,39989,1.77,131,"Comedy, Drama            ",Not Rated,"
    Director:
Mike Leigh
| 
    Stars:
David Thewlis, 
Lesley Sharp, 
Katrin Cartlidge, 
Greg Cruttwell
","
An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey."
340,Moonrise Kingdom,2012,7.8,84.0,350260,45.51,94,"Comedy, Drama, Romance            ",PG-13,"
    Director:
Wes Anderson
| 
    Stars:
Jared Gilman, 
Kara Hayward, 
Bruce Willis, 
Bill Murray
","
A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
341,Marriage Story,2019,7.9,94.0,307876,2.0,137,"Drama, Romance            ",R,"
    Director:
Noah Baumbach
| 
    Stars:
Adam Driver, 
Scarlett Johansson, 
Julia Greer, 
Azhy Robertson
","
Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together."
342,The Fighter,2010,7.8,79.0,368566,93.62,116,"Action, Biography, Drama            ",R,"
    Director:
David O. Russell
| 
    Stars:
Mark Wahlberg, 
Christian Bale, 
Amy Adams, 
Melissa Leo
","
Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
343,Road to Perdition,2002,7.7,72.0,268943,104.45,117,"Crime, Drama, Thriller            ",R,"
    Director:
Sam Mendes
| 
    Stars:
Tom Hanks, 
Tyler Hoechlin, 
Rob Maxey, 
Liam Aiken
","
A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
344,Aladdin,1992,8.0,86.0,419007,217.35,90,"Animation, Adventure, Comedy            ",G,"
    Directors:
Ron Clements, 
John Musker
| 
    Stars:
Scott Weinger, 
Robin Williams, 
Linda Larkin, 
Jonathan Freeman
","
A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true."
345,Kung Fu Panda,2008,7.6,74.0,469594,215.43,92,"Animation, Action, Adventure            ",PG,"
    Directors:
Mark Osborne, 
John Stevenson
| 
    Stars:
Jack Black, 
Ian McShane, 
Angelina Jolie, 
Dustin Hoffman
","
To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way."
346,Nosferatu,1922,7.9,,98292,,94,"Fantasy, Horror            ",Not Rated,"
    Director:
F.W. Murnau
| 
    Stars:
Max Schreck, 
Alexander Granach, 
Gustav von Wangenheim, 
Greta Schröder
","
Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife."
347,Midnight in Paris,2011,7.7,81.0,424449,56.82,94,"Comedy, Fantasy, Romance            ",PG-13,"
    Director:
Woody Allen
| 
    Stars:
Owen Wilson, 
Rachel McAdams, 
Kathy Bates, 
Kurt Fuller
","
While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
348,The Godfather Part III,1990,7.6,60.0,397081,66.67,162,"Crime, Drama            ",R,"
    Director:
Francis Ford Coppola
| 
    Stars:
Al Pacino, 
Diane Keaton, 
Andy Garcia, 
Talia Shire
","
Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire."
349,The Lego Movie,2014,7.7,83.0,355786,257.76,100,"Animation, Action, Adventure            ",PG,"
    Directors:
Phil Lord, 
Christopher Miller
| 
    Stars:
Chris Pratt, 
Will Ferrell, 
Elizabeth Banks, 
Will Arnett
","
An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
350,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,97.0,490436,0.28,95,"Comedy, War            ",PG,"
    Director:
Stanley Kubrick
| 
    Stars:
Peter Sellers, 
George C. Scott, 
Sterling Hayden, 
Keenan Wynn
","
An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
351,A Bronx Tale,1993,7.8,80.0,142933,17.27,121,"Crime, Drama            ",R,"
    Director:
Robert De Niro
| 
    Stars:
Robert De Niro, 
Chazz Palminteri, 
Lillo Brancato, 
Francis Capra
","
A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s."
352,Gravity,2013,7.7,96.0,824679,274.09,91,"Drama, Sci-Fi, Thriller            ",PG-13,"
    Director:
Alfonso Cuarón
| 
    Stars:
Sandra Bullock, 
George Clooney, 
Ed Harris, 
Orto Ignatiussen
","
Two astronauts work together to survive after an accident leaves them stranded in space."
353,Chinatown,1974,8.2,92.0,326837,8.49,130,"Drama, Mystery, Thriller            ",R,"
    Director:
Roman Polanski
| 
    Stars:
Jack Nicholson, 
Faye Dunaway, 
John Huston, 
Perry Lopez
","
A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
354,The Pursuit of Happyness,2006,8.0,64.0,511062,163.57,117,"Biography, Drama            ",PG-13,"
    Director:
Gabriele Muccino
| 
    Stars:
Will Smith, 
Thandiwe Newton, 
Jaden Smith, 
Brian Howe
","
A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career."
355,How to Train Your Dragon,2010,8.1,75.0,737855,217.58,98,"Animation, Action, Adventure            ",PG,"
    Directors:
Dean DeBlois, 
Chris Sanders
| 
    Stars:
Jay Baruchel, 
Gerard Butler, 
Christopher Mintz-Plasse, 
Craig Ferguson
","
A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
356,What's Eating Gilbert Grape,1993,7.7,73.0,238321,9.17,118,Drama            ,PG-13,"
    Director:
Lasse Hallström
| 
    Stars:
Johnny Depp, 
Leonardo DiCaprio, 
Juliette Lewis, 
Mary Steenburgen
","
A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness."
357,Grave of the Fireflies,1988,8.5,94.0,276485,,89,"Animation, Drama, War            ",Not Rated,"
    Director:
Isao Takahata
| 
    Stars:
Tsutomu Tatsumi, 
Ayano Shiraishi, 
Akemi Yamaguchi, 
Yoshiko Shinohara
","
A young boy and his little sister struggle to survive in Japan during World War II."
358,Beauty and the Beast,1991,8.0,95.0,454559,218.97,84,"Animation, Family, Fantasy            ",G,"
    Directors:
Gary Trousdale, 
Kirk Wise
| 
    Stars:
Paige O'Hara, 
Robby Benson, 
Jesse Corti, 
Rex Everhart
","
A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love."
359,The Little Mermaid,1989,7.6,88.0,263982,111.54,83,"Animation, Adventure, Comedy            ",G,"
    Directors:
Ron Clements, 
John Musker
| 
    Stars:
Jodi Benson, 
Samuel E. Wright, 
Rene Auberjonois, 
Christopher Daniel Barnes
","
A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love."
360,12 Monkeys,1995,8.0,74.0,617868,57.14,129,"Mystery, Sci-Fi, Thriller            ",R,"
    Director:
Terry Gilliam
| 
    Stars:
Bruce Willis, 
Madeleine Stowe, 
Brad Pitt, 
Joseph Melito
","
In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
361,Captain Fantastic,2016,7.8,72.0,219507,5.88,118,"Comedy, Drama            ",R,"
    Director:
Matt Ross
| 
    Stars:
Viggo Mortensen, 
George MacKay, 
Samantha Isler, 
Annalise Basso
","
In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
362,District 9,2009,7.9,81.0,681669,115.65,112,"Action, Sci-Fi, Thriller            ",R,"
    Director:
Neill Blomkamp
| 
    Stars:
Sharlto Copley, 
David James, 
Jason Cope, 
Nathalie Boltt
","
Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology."
363,The Fly,1986,7.6,79.0,184137,40.46,96,"Drama, Horror, Sci-Fi            ",R,"
    Director:
David Cronenberg
| 
    Stars:
Jeff Goldblum, 
Geena Davis, 
John Getz, 
Joy Boushel
","
A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong."
364,Serenity,2005,7.8,74.0,296804,25.51,119,"Action, Adventure, Sci-Fi            ",PG-13,"
    Director:
Joss Whedon
| 
    Stars:
Nathan Fillion, 
Gina Torres, 
Chiwetel Ejiofor, 
Alan Tudyk
","
The crew of the ship Serenity try to evade an assassin sent to recapture telepath River."
365,Big Fish,2003,8.0,58.0,441850,66.26,125,"Adventure, Drama, Fantasy            ",PG-13,"
    Director:
Tim Burton
| 
    Stars:
Ewan McGregor, 
Albert Finney, 
Billy Crudup, 
Jessica Lange
","
A frustrated son tries to determine the fact from fiction in his dying father's life."
366,Barry Lyndon,1975,8.1,89.0,168379,,185,"Adventure, Drama, War            ",PG,"
    Director:
Stanley Kubrick
| 
    Stars:
Ryan O'Neal, 
Marisa Berenson, 
Patrick Magee, 
Hardy Krüger
","
An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England."
367,Wild Tales,2014,8.1,77.0,198670,3.11,122,"Comedy, Drama, Thriller            ",R,"
    Director:
Damián Szifron
| 
    Stars:
Darío Grandinetti, 
María Marull, 
Mónica Villa, 
Diego Starosta
","
Six short stories that explore the extremities of human behavior involving people in distress."
368,Dances with Wolves,1990,8.0,72.0,265929,184.21,181,"Adventure, Drama, Western            ",PG-13,"
    Director:
Kevin Costner
| 
    Stars:
Kevin Costner, 
Mary McDonnell, 
Graham Greene, 
Rodney A. Grant
","
Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military."
369,Dallas Buyers Club,2013,7.9,78.0,488372,27.3,117,"Biography, Drama            ",R,"
    Director:
Jean-Marc Vallée
| 
    Stars:
Matthew McConaughey, 
Jennifer Garner, 
Jared Leto, 
Steve Zahn
","
In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
370,Bonnie and Clyde,1967,7.7,86.0,113745,,111,"Action, Biography, Crime            ",R,"
    Director:
Arthur Penn
| 
    Stars:
Warren Beatty, 
Faye Dunaway, 
Michael J. Pollard, 
Gene Hackman
","
Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
371,To Kill a Mockingbird,1962,8.3,88.0,316819,,129,"Crime, Drama            ",Approved,"
    Director:
Robert Mulligan
| 
    Stars:
Gregory Peck, 
John Megna, 
Frank Overton, 
Rosemary Murphy
","
Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice."
372,Indiana Jones and the Last Crusade,1989,8.2,65.0,752505,197.17,127,"Action, Adventure            ",PG-13,"
    Director:
Steven Spielberg
| 
    Stars:
Harrison Ford, 
Sean Connery, 
Alison Doody, 
Denholm Elliott
","
In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
373,The Untouchables,1987,7.9,79.0,310406,76.27,119,"Crime, Drama, Thriller            ",R,"
    Director:
Brian De Palma
| 
    Stars:
Kevin Costner, 
Sean Connery, 
Robert De Niro, 
Charles Martin Smith
","
During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
